PYT,A,B,C,D,GOOD
"Czym jest SEO?","Optymalizacja wyszukiwarki","Zakup reklam online","Optymalizacja serwera","Badanie rynku","A"
"Co to jest SEM?","Kodowanie stron","Marketing wyszukiwarek","Pisanie blogów","Badanie rynku","B"
"Która platforma mediów społecznościowych ma największą liczbę użytkowników?","Twitter","Facebook","Instagram","Snapchat","B"
"Jaką rolę pełni AdWords w kampanii marketingowej?","Śledzenie statystyk strony internetowej","Pozwala na zakup reklam w wyszukiwarce Google","Optymalizowanie treści na stronie","Tworzenie baz danych klientów","B"
"Jakiego rodzaju reklamy są wyświetlane w wynikach wyszukiwania Google?","Reklamy Pay-Per-Click (PPC)","Reklamy telewizyjne","Reklamy prasowe","Reklamy bilbordowe","A"
"Jakie są główne platformy e-mail marketingu?","Slack, Trello, Asana","Mailchimp, SendinBlue, GetResponse","WordPress, Drupal, Joomla","Python, Java, C++","B"
"Co oznacza termin 'twardy bounce' w e-mail marketingu?","E-mail został otwarty","E-mail został zignorowany","E-mail został oznaczony jako spam","E-mail nie został dostarczony","D"
"Czym jest retargeting?","Ponowne docieranie do osób, które już odwiedziły Twoją stronę lub sklep","Zmiana treści na stronie","Zwiększanie liczby obserwujących na Instagramie","Szyfrowanie danych na stronie","A"
"Jakie jest główne zastosowanie Google Analytics?","Analiza ruchu na stronie internetowej","Tworzenie animacji 3D","Optymalizacja prędkości strony","Kodowanie stron","A"
"Czym jest optymalizacja konwersji (CRO)?","Proces zwiększania liczby użytkowników, którzy wykonują pożądane działania na stronie","Zakup reklam na Facebooku","Pisanie postów na blogu","Tworzenie bazy danych klientów","A"
"Która z następujących platform NIE jest platformą do zarządzania mediami społecznościowymi?","Hootsuite","Buffer","BuzzSumo","WordPress","D"
"Czym jest marketing afiliacyjny?","Tworzenie reklam telewizyjnych","Tworzenie stron internetowych","Promocja produktów innych firm w zamian za prowizję","Prowadzenie badań rynkowych","C"
"Który z terminów oznacza liczba wyświetleń strony?","Kliknięcia","Bounce rate","Pageviews","Konwersje","C"
"Co to jest lead w marketingu?","Osoba, która wyraziła zainteresowanie Twoją ofertą","Post na blogu","Kampania reklamowa","Strona internetowa","A"
"Czym jest A/B testing w marketingu internetowym?","Testowanie różnych wersji strony lub reklamy, aby zobaczyć, która działa lepiej","Testowanie prędkości strony","Testowanie kompatybilności z różnymi przeglądarkami","Badanie satysfakcji klienta","A"
"Jak nazywa się proces zbierania i analizowania dużych ilości danych o rynku i konkurencji?","Data mining","Data cleaning","Data encryption","Data saving","A"
"Co to jest content marketing?","Tworzenie i udostępnianie wartościowych treści, aby przyciągnąć i zaangażować określoną grupę odbiorców","Kodowanie stron internetowych","Optymalizacja prędkości strony","Prowadzenie badań rynkowych","A"
"Jakie jest główne zastosowanie chatbotów w marketingu internetowym?","Automatyczna obsługa klienta","Tworzenie animacji 3D","Pisanie postów na blogu","Szyfrowanie danych na stronie","A"
"Czym jest landing page?","Strona, na którą użytkownik trafia po kliknięciu w reklamę lub link","Strona główna strony internetowej","Strona z opisem produktu","Strona z informacjami o firmie","A"
"Które z poniższych są przykładami metryk marketingu internetowego?","Bounce rate, CTR, Pageviews","HTML, CSS, JavaScript","AdWords, Analytics, Facebook Ads","SEO, SEM, SMM","A"
